slug,name,country,region,piste_km,apres_score,crowd_score,infra_score,hut_score,park_score,beginner_score,advanced_score,lat,lon,image_url,openskimap_url,skimap_url,piste_map_url,official_url,skipass_url,piste_km_total,piste_km_easy,piste_km_intermediate,piste_km_advanced,runs_count_total,lifts_count_total,elevation_min_m,elevation_max_m,vertical_m,wikipedia_url,notes,source,last_checked
gstaad-saanen-rougemont,Gstaad - Saanen - Rougemont,Switzerland,Bern,38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,46.4678248,7.236622133333334,,https://openskimap.org/?obj=4c623c993b79a2c02ca2ec60de4bb18383242239,https://skimap.org/skiareas/view/1000,https://skimap.org/skiareas/view/1000,https://www.gstaad.ch/bergbahnen/,,38,23.7,9.1,5.1,33,11,967.8,2152.1,1184.6,,,openskistats.org + api.openskimap.org,2026-01-28
gullingen-skisenter,Gullingen skisenter,Norway,Rogaland,1.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,59.4108144525994,6.46657147033639,,https://openskimap.org/?obj=aa801235e98cb2d9a2b8031130a15124d5ad0e48,https://skimap.org/skiareas/view/15881,https://skimap.org/skiareas/view/15881,https://gullingen.no/skisenter/,,1.8,,,,5,2,642.8,776.6,133.8,,,openskistats.org + api.openskimap.org,2026-01-28
gura-humorului,Gura Humorului,Romania,Suceava,2.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,47.542338000000015,25.889064,,https://openskimap.org/?obj=4fb9db65855c4805dbf96a896d63f7cb3cddb13e,https://skimap.org/skiareas/view/12750,https://skimap.org/skiareas/view/12750,,,2.4,0.7,1.6,0.1,6,2,471.7,744.5,274.6,,,openskistats.org + api.openskimap.org,2026-01-28
gurtis,Gurtis,Austria,Vorarlberg,11.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,47.19736768144116,9.6252877455572,,https://openskimap.org/?obj=b4acfbd08acc8fb366ffb233e30ff36ac24e489e,,,,,11.4,1.4,4.5,5.4,18,3,917.7,1388.9,754.5,,,openskistats.org + api.openskimap.org,2026-01-28
guzet-neige,Guzet-Neige,France,Ariège,27.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,42.77010834237557,1.3074916911717493,,https://openskimap.org/?obj=c8f66e784133d6becb1aba654e27b446daa7af7b,https://skimap.org/skiareas/view/864,https://skimap.org/skiareas/view/864,https://www.guzet.ski/,,27.7,16.8,7.2,2.7,40,15,1102.5,2048.8,947.3,,,openskistats.org + api.openskimap.org,2026-01-28
gahwil,Gähwil,Switzerland,Saint Gallen,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,47.392279707,9.002514859999998,,https://openskimap.org/?obj=e486cf40de288d00fef52297d75af7d98f3b7a85,,,https://www.gaehwil.ch/index.php/skilift-gaehwil.html,,1.5,1.5,,,3,1,746.1,893.4,147.3,,,openskistats.org + api.openskimap.org,2026-01-28
gala-alpinsenter,Gålå Alpinsenter,Norway,Innlandet,10.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61.49758017931035,9.754302806896549,,https://openskimap.org/?obj=0ef9377dce8c3bc6c7b04378273c9e7d77c354eb,https://skimap.org/skiareas/view/14390,https://skimap.org/skiareas/view/14390,https://www.gala-alpin.no/,,10.3,8.3,2,,19,4,784.3,1093.4,304.9,,,openskistats.org + api.openskimap.org,2026-01-28
gerardmer,Gérardmer,France,Vosges,23.1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,48.053493897826066,6.903546338695647,,https://openskimap.org/?obj=7ccf68e28c0dfb0a0d21e0ad24260a5775c63263,https://skimap.org/skiareas/view/889,https://skimap.org/skiareas/view/889,https://www.gerardmer-ski.com/,,23.1,13.3,7.5,1.5,62,20,776.4,1137.8,361.4,,,openskistats.org + api.openskimap.org,2026-01-28
gora-kamiensk,Góra Kamieńsk,Poland,Łódź Voivodeship,1.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,51.22843593913045,19.434247878260862,,https://openskimap.org/?obj=8e09eb54cbb5a210680af71ae07d45c78001cd13,https://skimap.org/skiareas/view/12553,https://skimap.org/skiareas/view/12553,,,1.6,1.6,,,5,3,213.2,335.8,123,,,openskistats.org + api.openskimap.org,2026-01-28
gora-zar,Góra Żar,Poland,Silesian Voivodeship,1.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,49.77538900000001,19.221954000000007,,https://openskimap.org/?obj=9631cab8d2ed9be909ef79091f0bdf935362df83,https://skimap.org/skiareas/view/12555,https://skimap.org/skiareas/view/12555,,,1.9,0.3,1.6,,3,5,454.7,754.3,299.6,,,openskistats.org + api.openskimap.org,2026-01-28
